title,key,plugin,priority,status
"""enum"" should no longer be used as a name",S1190,squid,MAJOR,ACTIVE
"""equals(Object obj)"" and ""hashCode()"" should be overridden in pairs",S1206,squid,BLOCKER,ACTIVE
"""equals(Object obj)"" should be overridden along with the ""compareTo(T obj)"" method",S1210,squid,CRITICAL,ACTIVE
"""java.lang.Error"" should not be extended",S1194,squid,MAJOR,ACTIVE
"""object == null"" should be used instead of ""object.equals(null)""",S1318,squid,CRITICAL,ACTIVE
"""switch"" statements should have at least 3 cases",S1301,squid,MINOR,ACTIVE
"""switch"" statements should not contain non-case labels",S1219,squid,CRITICAL,ACTIVE
Anonymous classes should not have too many lines,S1188,squid,MAJOR,ACTIVE
"Array designators ""[]"" should be located after the type in method signatures",S1195,squid,MINOR,ACTIVE
"Array designators ""[]"" should be on the type, not the variable",S1197,squid,MINOR,ACTIVE
Assignments should not be made from within sub-expressions,AssignmentInSubExpressionCheck,squid,MAJOR,ACTIVE
Avoid Array Loops,AvoidArrayLoops,pmd,MAJOR,ACTIVE
Avoid Assert As Identifier,AvoidAssertAsIdentifier,pmd,MAJOR,ACTIVE
Avoid Catching NPE,AvoidCatchingNPE,pmd,MAJOR,ACTIVE
Avoid commented-out lines of code,CommentedOutCodeLine,squid,MAJOR,ACTIVE
Avoid Decimal Literals In Big Decimal Constructor,AvoidDecimalLiteralsInBigDecimalConstructor,pmd,MAJOR,ACTIVE
Avoid Throwing Null Pointer Exception,AvoidThrowingNullPointerException,pmd,MAJOR,ACTIVE
Avoid too complex class,ClassCyclomaticComplexity,squid,MAJOR,ACTIVE
Avoid too complex method,MethodCyclomaticComplexity,squid,MAJOR,ACTIVE
Big Integer Instantiation,BigIntegerInstantiation,pmd,MAJOR,ACTIVE
Boolean expressions should not be compared to true or false,S1125,squid,MAJOR,ACTIVE
Boolean Instantiation,BooleanInstantiation,pmd,MAJOR,ACTIVE
Broken Null Check,BrokenNullCheck,pmd,CRITICAL,ACTIVE
Case insensitive string comparisons should be made without intermediate upper or lower casing,S1157,squid,MAJOR,ACTIVE
Class Cast Exception With To Array,ClassCastExceptionWithToArray,pmd,MAJOR,ACTIVE
Class names should comply with a naming convention,S00101,squid,MAJOR,ACTIVE
Class variable fields should not have public accessibility,ClassVariableVisibilityCheck,squid,MAJOR,ACTIVE
"Classes from ""com.sun.*"" and ""sun.*"" packages should not be used",S1191,squid,MAJOR,ACTIVE
Close Resource,CloseResource,pmd,MAJOR,ACTIVE
"Collapsible ""if"" statements should be merged",S1066,squid,MAJOR,ACTIVE
Collection.isEmpty() should be used to test for emptiness,S1155,squid,MAJOR,ACTIVE
Comments should not be located at the end of lines of code,TrailingCommentCheck,squid,MINOR,ACTIVE
Compare Objects With Equals,CompareObjectsWithEquals,pmd,MAJOR,ACTIVE
Constant names should comply with a naming convention,S00115,squid,MAJOR,ACTIVE
"Constants should be declared ""final static"" rather than merely ""final""",S1170,squid,MAJOR,ACTIVE
Constants should not be defined in interfaces,S1214,squid,MINOR,ACTIVE
Constructor Calls Overridable Method,ConstructorCallsOverridableMethod,pmd,MAJOR,ACTIVE
"Control flow statements ""if"", ""for"", ""while"" and ""switch"" should not be nested too deeply",S134,squid,MINOR,ACTIVE
Deprecated code should be removed eventually,S1133,squid,INFO,ACTIVE
Deprecated elements should have both the annotation and the Javadoc tag,MissingDeprecatedCheck,squid,MAJOR,ACTIVE
Duplicated blocks,DuplicatedBlocks,common-java,MAJOR,ACTIVE
Empty arrays and collections should be returned instead of null,S1168,squid,MAJOR,ACTIVE
Empty Finalizer,EmptyFinalizer,pmd,MAJOR,ACTIVE
Empty statements should be removed,EmptyStatementUsageCheck,squid,MAJOR,ACTIVE
Enumeration should not be implemented,S1150,squid,MAJOR,ACTIVE
Exception classes should be immutable,S1165,squid,MAJOR,ACTIVE
Exception handlers should provide some context and preserve the original exception,S1166,squid,CRITICAL,ACTIVE
"Exception types should not be tested using ""instanceof"" in catch blocks",S1193,squid,MAJOR,ACTIVE
Exceptions should not be thrown in finally blocks,S1163,squid,MAJOR,ACTIVE
Execution of the Garbage Collector should be triggered only by the JVM,S1215,squid,CRITICAL,ACTIVE
Expressions should not be too complex,S1067,squid,MAJOR,ACTIVE
Field names should comply with a naming convention,S00116,squid,MAJOR,ACTIVE
FIXME tags should be handled,S1134,squid,MAJOR,ACTIVE
"Generic exceptions Error, RuntimeException, Throwable and Exception should never be thrown",S00112,squid,MAJOR,ACTIVE
Idempotent Operations,IdempotentOperations,pmd,MAJOR,ACTIVE
"If statement conditions should not always evaluate to ""true"" or to ""false""",S1145,squid,MAJOR,ACTIVE
if/else/for/while/do statements should always use curly braces,S00121,squid,INFO,ACTIVE
Inefficient String Buffering,InefficientStringBuffering,pmd,MAJOR,ACTIVE
Instantiation To Get Class,InstantiationToGetClass,pmd,MAJOR,ACTIVE
Insufficient branch coverage by unit tests,InsufficientBranchCoverage,common-java,MAJOR,ACTIVE
Integer Instantiation,IntegerInstantiation,pmd,MAJOR,ACTIVE
Interface names should comply with a naming convention,S00114,squid,MAJOR,ACTIVE
IP addresses should not be hardcoded,S1313,squid,MAJOR,ACTIVE
"Java collection interfaces such as ""List"" should be hold instead of specific implementations classes such as ""LinkedList""",S1319,squid,MAJOR,ACTIVE
Labels should not be used,LabelsShouldNotBeUsedCheck,squid,MAJOR,ACTIVE
Left curly braces should be located at the end of lines of code,LeftCurlyBraceEndLineCheck,squid,MAJOR,ACTIVE
Local variable and method parameter names should comply with a naming convention,S00117,squid,MAJOR,ACTIVE
Local variables should not shadow class fields,HiddenFieldCheck,squid,MAJOR,ACTIVE
"Loggers should be ""private static final"" and should share a naming convention",S1312,squid,MAJOR,ACTIVE
"Long suffix ""L"" should be upper case",LowerCaseLongSuffixCheck,squid,MAJOR,ACTIVE
Loop counters should not be assigned to from within the loop body,ForLoopCounterChangedCheck,squid,MAJOR,ACTIVE
"Loops should not contain more than a single ""break"" or ""continue"" statement",S135,squid,MAJOR,ACTIVE
Method names should comply with a naming convention,S00100,squid,MAJOR,ACTIVE
